# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.11.92.134  [23, 80, 443, 8080]
10.11.92.135  [80, 443]
10.11.92.162  [80]
10.14.21.1  [80]
10.14.21.10  [80, 443]
10.14.20.1  [80]
10.14.23.1  [80]
10.14.24.1  [80]
10.14.24.112  [80]
10.14.24.147  [80]
10.14.24.158  [80]
10.14.24.184  [80]
10.14.22.1  [80]
10.14.22.151  [80]
10.14.22.152  [80, 443]
10.14.22.154  [80, 443]
10.14.22.156  [80, 443]
10.14.22.157  [80, 443]
10.14.22.158  [80, 443]
10.14.22.200  [80, 443]
10.14.22.201  [80, 443]
10.14.22.202  [80, 443]
10.14.22.203  [80, 443]
10.14.22.204  [80, 443]
10.14.22.205  [80]
10.14.22.206  [80, 443]
10.14.22.207  [80, 443]
10.14.22.210  [80, 443]
10.14.22.212  [80, 443]
10.14.22.22  [80]
10.14.22.251  [80]
10.14.22.252  [80]
10.14.22.254  [80]
10.14.27.1  [80]
10.14.25.1  [80]
10.14.28.1  [80]
10.14.26.1  [80]
10.14.29.1  [80]
10.14.29.14  [80]
10.14.29.150  [80]
10.14.29.160  [80]
10.14.29.163  [80]
10.14.29.174  [80]
10.14.29.185  [80]
10.14.29.30  [80]
10.14.29.34  [80]
10.14.29.37  [80]
10.14.29.60  [80]
10.14.29.79  [80]
10.15.4.20  [445]
10.15.4.21  [445]
10.15.4.22  [445]
10.15.4.24  [445]
10.15.4.25  [445]
10.15.4.26  [445]
10.15.4.27  [445]
10.15.4.28  [445]
10.15.4.29  [445]
10.15.4.30  [445]
10.15.4.31  [445]
10.15.4.32  [445]
10.15.4.33  [445]
10.15.4.34  [445]
10.15.4.35  [445]
10.15.4.36  [445]
10.15.4.37  [445]
10.15.4.38  [445]
10.15.4.39  [445]
10.15.4.41  [445]
10.15.4.42  [445]
10.15.4.43  [445]
10.15.4.44  [445]
10.15.4.46  [445]
10.15.4.47  [445]
10.15.4.48  [445]
10.15.4.49  [445]
10.15.4.50  [445]
10.15.4.51  [445]
10.15.4.52  [445]
10.15.4.53  [445]
10.15.4.54  [445]
10.15.4.55  [445]
10.15.4.56  [445]
10.15.3.53  [8080]
10.15.1.1  [443]
10.15.5.101  [443]
10.15.5.116  [445]
10.15.5.121  [80, 443]
10.15.5.124  [445]
10.15.5.132  [445]
10.15.5.133  [445]
10.15.5.134  [445]
10.15.5.136  [445]
10.15.5.137  [445]
10.15.5.152  [445]
10.15.5.194  [80, 443]
10.15.5.22  [80, 8443]
10.15.5.27  [443]
10.15.5.28  [80]
10.15.5.29  [80]
10.15.5.44  [80, 443, 8088]
10.15.5.50  [443]
10.15.5.54  [80, 8080, 11211]
10.15.5.56  [443]
10.15.5.63  [445, 8080]
10.15.5.64  [8080, 8081]
10.15.5.65  [445, 8080]
10.15.5.66  [445, 5236]
10.15.5.67  [8080, 8081]
10.15.5.68  [445, 8080]
10.15.5.69  [445, 8080]
10.15.5.70  [8080, 8081]
10.15.5.75  [80]
10.15.5.84  [80, 443]
10.15.6.111  [445, 8080]
10.15.6.112  [445, 8080]
10.15.6.113  [8080, 8081]
10.15.6.114  [445, 8080]
10.15.6.115  [445, 8080]
10.15.6.116  [8080, 8081]
10.15.6.117  [5236]
10.15.6.118  [8080, 54321]
10.15.6.119  [8080, 8081]
10.15.6.120  [445, 5236]
10.15.6.122  [80, 443]
10.15.6.153  [80, 445, 8080, 8443]
10.15.6.155  [443]
10.15.6.156  [443]
10.15.6.158  [445]
10.15.6.165  [80, 443, 445]
10.15.6.166  [80, 443, 445]
10.15.6.169  [445]
10.15.6.170  [443, 445]
10.15.6.171  [445]
10.15.6.180  [80, 443, 445]
10.15.6.183  [445]
10.15.6.184  [8443]
10.15.6.185  [80, 445]
10.15.6.186  [445]
10.15.6.187  [445]
10.15.6.43  [23]
10.15.6.65  [23]
10.15.6.68  [8080]
10.15.6.70  [8080]
10.15.6.71  [8080, 8081]
10.15.6.74  [80]
10.15.6.75  [80, 8080, 8081]
10.15.6.76  [8081]
10.15.6.78  [8080]
10.15.7.100  [80, 443]
10.15.7.101  [80]
10.15.7.102  [80]
